Date|AQSID|Sitename|Parameter name|Reporting units|Value|Averaging period|Data Source
01/01/20|530610005|Lynnwood-212th|PM2.5-24hr|UG/M3|2|24|Washington Department of Ecology
01/01/20|530610020|Darrington-Fir St|PM2.5-24hr|UG/M3|3.5|24|Washington Department of Ecology
01/01/20|530611007|Marysville-7th Ave|PM2.5-24hr|UG/M3|6.2|24|Washington Department of Ecology
01/01/20|530630001|Cheney-Turnbull (SO)|PM10-24hr|UG/M3|5|24|Washington Department of Ecology
01/01/20|530630021|Spokane-Augusta Ave|PM10-24hr|UG/M3|5|24|Washington Department of Ecology
01/01/20|530630021|Spokane-Augusta Ave|PM2.5-24hr|UG/M3|1.3|24|Washington Department of Ecology
01/01/20|530630047|Spokane-Monroe St.|PM2.5-24hr|UG/M3|1.9|24|Washington Department of Ecology
01/01/20|530639995|Colbert-Greenbluff|PM2.5-24hr|UG/M3|2.6|24|Washington Department of Ecology
01/01/20|530639997|Spokane-E Broadway A|PM2.5-24hr|UG/M3|2.3|24|Washington Department of Ecology
01/01/20|530650002|Wellpinit-Spokane Tr|PM2.5-24hr|UG/M3|2|24|Washington Department of Ecology
01/01/20|530650005|Colville-E 1st St|PM10-24hr|UG/M3|16|24|Washington Department of Ecology
01/01/20|530650005|Colville-E 1st St|PM2.5-24hr|UG/M3|14.2|24|Washington Department of Ecology
01/01/20|530670013|Lacey-College St|PM2.5-24hr|UG/M3|2.7|24|Washington Department of Ecology
01/01/20|530710005|Walla Walla-12th St|PM2.5-24hr|UG/M3|0.1|24|Washington Department of Ecology
01/01/20|530710006|Burbank-Maple Street|PM10-24hr|UG/M3|15|24|Washington Department of Ecology
01/01/20|530730005|Custer-Loomis (SO-AQ|OZONE-1HR|PPB|43|1|Washington Department of Ecology
01/01/20|530730005|Custer-Loomis (SO-AQ|OZONE-8HR|PPB|41|8|Washington Department of Ecology
01/01/20|530730005|Custer-Loomis (SO-AQ|PM2.5-24hr|UG/M3|0.4|24|Washington Department of Ecology
01/01/20|530730019|Bellingham Pacifc|PM2.5-24hr|UG/M3|2.5|24|Washington Department of Ecology
01/01/20|530750003|Pullman-Dexter Ave|PM2.5-24hr|UG/M3|0.8|24|Washington Department of Ecology
01/01/20|530750005|Lacrosse-Hill St|PM2.5-24hr|UG/M3|1.6|24|Washington Department of Ecology
01/01/20|530750006|Rosalia-Josephine St|PM2.5-24hr|UG/M3|1.2|24|Washington Department of Ecology
01/01/20|530770005|Sunnyside-S 16th|PM2.5-24hr|UG/M3|1.4|24|Washington Department of Ecology
01/01/20|530770009|Yakima-4th Ave|PM10-24hr|UG/M3|3|24|Washington Department of Ecology
01/01/20|530770009|Yakima-4th Ave|PM2.5-24hr|UG/M3|1.7|24|Washington Department of Ecology
01/01/20|530770015|Toppenish-Yakama Tri|PM2.5-24hr|UG/M3|2.8|24|Washington Department of Ecology
01/01/20|530770016|White Swan-Yakama Tr|PM2.5-24hr|UG/M3|0.1|24|Washington Department of Ecology
